objectid,district,state,country,level,lulc_area_in_hects_2011_12,forest_area_in_hects_2011_12,tc_in_hects_2011_12,autumn_rice_area_in_hect,winter_rice_area_in_hect,summer_rice_area_in_hect,total_area_in_hect,net_area_irrigated_2012__2013_i,net_area_irrigated_2013_2014__p,prod__ha,prod__worker,fert__nsanpk__ha,f__fva__,crop_intensity__,worker__hectare,rainfall__mm,net_sown_area__000ha,rural_poor__,indiadatasdeAS_Agriculturearea
1,Goalpara,Assam,India,District,184262,29683,125242,5519,32009,14189,51717,2338,2333,26513,13930,116,10.3,137,1.9,2458.7,79,33.9,1928.86063987
2,South Salmara Mancachar,Assam,India,District,82646,9038,53647,827,7081,8226,16134,263,517,7426,3715,37,7.7,153,1,999.81,144,42.4,684.59818504
3,Karimganj,Assam,India,District,180900,55995,104129,803,45106,3843,49752,1305,265,29037,16638,60,9.2,140,1.75,4559.9,69,40.9,1815.48851669
4,Hailakandi,Assam,India,District,132587,62420,77280,1978,27008,1142,30128,925,977,34515,17890,30,11.7,141,1.93,3094.2,46,7,1329.31144525
5,West Karbi Anglong,Assam,India,District,1033400,319294,201718,5826,77247,1266,84339,32179,27067,24433,12779,6,5,154,1.91,1121.5,126,26.5,3072.69237454
6,Kokrajhar,Assam,India,District,312900,161195,172649,13952,42011,12936,68899,6578,10204,25176,9419,70,7.8,160,2.67,3767.7,85,35.7,3152.58487658
7,Chirang,Assam,India,District,136926,71978,88722,5683,22913,1530,30126,5646,9997,,,,,,,,,,1942.52311574
8,Bongaigaon,Assam,India,District,151999,44,105421,7053,21249,7333,35635,383,1143,24856,14181,106,8.5,165,1.75,3219.4,95,33,1127.16766986
9,Dhubri,Assam,India,District,183955,20117,119407,1841,15760,18310,35911,263,517,16529,8268,81,7.7,153,1,2225.38,144,42.4,1519.98142139
10,Barpeta,Assam,India,District,225069,572,254698,12282,43960,26862,83104,1848,2629,26316,16148,93,11.3,154,1.63,1909.1,180,39.9,2244.0078566
11,Kamrup,Assam,India,District,308684,70885,186647,8647,46163,20652,75462,612,4024,25674,16338,81,9.3,140,1.57,1428.6,180,22.3,3121.9452016
12,Nalbari,Assam,India,District,100483,0,120765,3155,40300,6172,49627,88,207,23830,18504,74,10.1,137,1.29,1904.4,154,15,1052.00852176
13,Baksa,Assam,India,District,208608,99519,133831,6528,55725,1543,63796,12486,11392,,,,,,,,,,2467.77076785
14,Darrang,Assam,India,District,180707,276,145558,2314,31353,10008,43675,4333,4472,23248,14343,87,10.2,143,1.62,1796.6,205,0.1,1618.23447273
15,Udalguri,Assam,India,District,167393,22400,158903,13533,41083,3517,58133,27830,26358,,,,,,,,,,1978.9184778
16,Kamrup Metro,Assam,India,District,115017,22140,49974,573,13223,4483,18279,4821,2992,,,,,,,,,,939.4066151
17,Marigaon,Assam,India,District,158765,13207,127811,1600,30222,23071,54893,1932,797,19645,9468,65,4.3,135,2.07,1165.8,92,21.5,1556.01264081
18,Sonitpur,Assam,India,District,350252,97281,178192,8704,52989,7935,69628,9185,10243,17374,9723,19,9.4,147,1.17,1083.13,166,3.6,3443.57481212
19,Cachar,Assam,India,District,377610,138409,163057,4115,53526,4320,61961,4340,6570,29728,21491,44,14.8,127,1.38,2366.1,115,33.5,3784.10558965
20,Dima Hasao,Assam,India,District,488800,67277,54217,4269,5931,16,10216,3875,3951,43716,32482,2,30.2,127,1.35,1144.9,28,6.1,4883.72967938
21,Hojai,Assam,India,District,148382,31777,108055,3793,32908,8977,44678,28802,29991,11301,6241,39,9.3,151,0.65,556.55,235,25.3,1455.69207969
22,Nagaon,Assam,India,District,262648,56247,191267,4943,58251,15890,79083,28802,29991,20005,11048,70,9.3,151,1.15,985.14,235,25.3,2561.70276705
23,Karbi Anglong,Assam,India,District,1033400,319294,201718,5826,77247,1266,84339,32179,27067,24433,12779,6,5,154,1.91,1121.5,126,26.5,7324.98942912
24,Biswanath,Assam,India,District,182046,50562,92617,4524,27541,4124,36189,9185,10243,9031,5053,10,9.4,147,0.61,562.96,166,3.6,1785.45249035
25,Golaghat,Assam,India,District,354070,156905,182013,1226,76309,2714,80249,163,593,33595,17444,31,14.2,128,1.93,2118.6,117,25.5,3277.97997041
26,Lakhimpur,Assam,India,District,235024,29379,223208,8320,72605,9202,90127,532,810,22188,5913,17,7.7,172,3.75,1544.6,100,1.4,2923.93567729
27,Majuli,Assam,India,District,114610,8805,70061,841,22519,1052,24411,784,1686,11912,7471,24,12.6,143,0.63,725.08,120,27.5,1232.06104917
28,Jorhat,Assam,India,District,170490,13099,104219,1250,33499,1564,36314,784,1686,17720,11114,35,12.6,143,0.95,1078.61,120,27.5,1847.90199296
29,Dhemaji,Assam,India,District,323700,59355,121227,6163,44395,2480,53038,415,22,20099,6200,4,7.8,162,3.24,3471.7,63,0,2538.12811362
30,Sivasagar,Assam,India,District,154612,18096,89015,76,36980,184,37240,322,292,15850,11718,7,7.4,111,0.8,1129.07,138,20.3,1573.41424643
31,Charaideo,Assam,India,District,105678,12369,60842,52,25276,126,25454,322,292,10833,8010,4,7.4,111,0.54,771.72,138,20.3,1069.65399462
32,Tinsukia,Assam,India,District,379000,131595,143524,3421,36979,48,40448,698,1561,27805,15765,54,13.8,142,1.76,2609.6,99,14.4,3809.56810713
33,Dibrugarh,Assam,India,District,338782,23341,166107,120,50361,226,50707,2290,305,24931,19667,55,9.1,129,1.27,2249.7,138,19.2,3395.3553002
